Nombre,Descripcion,Vendedor,Imagenes
Muñecos en 3D,,Aarón Navarro,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/485766896_1676883327040875_8268679813128492069_n-Aaron-Navarro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/485025132_1676322213763653_2773547839817595276_n-Aaron-Navarro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/485057231_1676322293763645_3048482854455463174_n-Aaron-Navarro.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/485179007_1676883440374197_953949444767604672_n-Aaron-Navarro.jpg
Vasos Sublimados,Vasos de vidrio esmerilado sublimados,Felipe Yanchina,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250425_214419-Felipe-Yanchina-scaled.jpg
Tablas,,Felipe Yanchina,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250425_213959-Felipe-Yanchina-scaled.jpg
Platos de Madera,Set de platos para asado o picnic realizado en madera de pino curado con aceite de oliva extra virgen.,Felipe Yanchina,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250425_213836-Felipe-Yanchina-scaled.jpg
Bolso Matero,Matera puede ser realizada en ecocuero o 100% cuero vacuno.,Felipe Yanchina,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250425_213423-Felipe-Yanchina-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250425_213659-Felipe-Yanchina-scaled.jpg
Mates Pintados,,Valeria Morales,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250316_213616319-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250308_210318411-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250308_210732212-Valeria-Morales-scaled.jpg
Pulseras de Cuero,,Valeria Morales,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250331_221515872-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250325_004321289-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250325_223519960-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250331_221240028-Valeria-Morales-scaled.jpg
Billeteras de Cuero,"Productos como carteras,cintos,billeteras,monederos,etc",Valeria Morales,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250425_173931643_HDR-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250425_173827058_PORTRAIT-Valeria-Morales-scaled.jpg
Cinturones,,Valeria Morales,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250308_215315310-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250316_213629123-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250409_003707812-Valeria-Morales-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250409_003827405-Valeria-Morales-scaled.jpg
Antifaz Terapéutico,"Para meditar, relajarse. Se usa frio para desinflamar ojos y ojeras, o golpes. Frío alivia el dolor de cabeza y ayuda a bajar la temperatura si hay fiebre. tibio alivia cuadros de sinusitis",Vasca Escaramujo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/Documento-A4-Catalogo-De-Joyeria-Elegante-Beige-500-x-800-px-500-x-650-p_20250206_120857_0001-Vasca-Escaramujo.jpg
Bolsa de Semillas Terapéutica,Sirven para calentar o enfriar según los dolores que quieras tratar,Vasca Escaramujo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/Documento-A4-Catalogo-De-Joyeria-Elegante-Beige-500-x-800-px-500-x-650-p_20250206_120857_0002-Vasca-Escaramujo.jpg
"Muñeca de Tela ""Quita Pena""",Muñecas de tela dibujada a mano alzada.,Vasca Escaramujo,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/Documento-A4-Catalogo-De-Joyeria-Elegante-Beige-500-x-800-px-500-x-650-p_20250206_120857_0000-Vasca-Escaramujo.jpg
Chaleco,,Cintia Manzano,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250326-WA0003-Cintia-Manzano.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250326-WA0004-Cintia-Manzano.jpg
Llaveros Tejidos,,Ana Patricia Gabrielco,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250314-WA0032-Ana-Patricia-Gabrielco-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20220915_215427_419-Ana-Patricia-Gabrielco-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20220916_112638_774-Ana-Patricia-Gabrielco-scaled.jpg
Juguetes para Bebés,,Ana Patricia Gabrielco,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20220921_104615_269-Ana-Patricia-Gabrielco-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.12.31-Punto-Digital-1.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.12.32-Punto-Digital-1.jpeg
Amigurumis de Animales,,Ana Patricia Gabrielco,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20240724_134622_797-Ana-Patricia-Gabrielco-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250409-WA0023-Ana-Patricia-Gabrielco.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250409-WA0041-Ana-Patricia-Gabrielco-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250409-WA0050-Ana-Patricia-Gabrielco.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250409-WA0051-Ana-Patricia-Gabrielco.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250409-WA0053-Ana-Patricia-Gabrielco.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250409-WA0061-Ana-Patricia-Gabrielco.jpg
Azucarera,Juego de azucarera y jarrita salsera,Barbara Gatica,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250202-WA0015-Barbara-Gatica.jpg
Vasos,Vasos cerámicos con técnica de moldeado y engobes experimentales,Barbara Gatica,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250126-WA0081-Barbara-Gatica-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250126-WA0072-Barbara-Gatica-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250126-WA0079-Barbara-Gatica-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250126-WA0083-Barbara-Gatica-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250202-WA0018-Barbara-Gatica.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250202-WA0015-Barbara-Gatica.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250202-WA0017-Barbara-Gatica.jpg
Aros con Piedras,"Aro trabajado en alambre, cubierto por cristales a tono, forma circular. Aritos tejidos en alambre, con cristales a tono y vienen con perlas de vidrio o piedras naturales",Yamila Zarate,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250410_162829-Yamila-Zarate-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250410_163314-Yamila-Zarate-scaled.jpg
Conjunto de Aros y Dije,"Aritos y dije realizado en alambre, con cristal imitación austriaca acompañado de cristales creando tonalidad de temporada, Cadena de acero quirúrgico 316.",Yamila Zarate,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250410_163843-Yamila-Zarate-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250410_164419-Yamila-Zarate-scaled.jpg
Buzos Intervenidos,"Buzos de algodón premium con apliques de lentejuelas, tachas , strass Tb Buzos canguro overzide de algodón premium",Valeria Vergara,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250420-WA0083-Valeria-Vergara.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250329_180719138_HDR-Valeria-Vergara.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250411_170434986_HDR-Valeria-Vergara.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250418-WA0015-Valeria-Vergara.jpg
Remeras Intervenidas con Apliques de Lentejuelas,Son remeras de algodon premium del talle 2 al 8,Valeria Vergara,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250420-WA0081-Valeria-Vergara.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20250420_010920710_HDR-Valeria-Vergara-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20240306-WA0006-Valeria-Vergara.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250420-WA0080-Valeria-Vergara.jpg
Mates,Mates de calabaza forrados en cuero con virolas y guardas de acero y alpaca.,Yamila Barrera,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250422-WA0058-Yamila-Barrera.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250422-WA0057-Yamila-Barrera.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250422-WA0059-Yamila-Barrera.jpg
Tablas,Tablas realizadas con maderas duras combinadas tratadas con productos aptos para el contacto con alimentos,Yamila Barrera,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250423-WA0004-Yamila-Barrera.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250423-WA0003-Yamila-Barrera.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250423-WA0007-Yamila-Barrera.jpg
Cajas Recicladas con Decoupage,Reciclado y/o soportes de MDF intervenido con pintura decorativa y/o técnicas mixtas.,Nora Hernández,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20240827_111233-Nora-Hernandez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250411-WA0064-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250411-WA0065-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250411-WA0066-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250411-WA0068-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250413-WA0002-Nora-Hernandez.jpg
Sacos Tejidos,Prendas y accesorios tejidos a dos agujas y a crochet,Nora Hernández,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250402_165755-Nora-Hernandez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20240224-WA0068-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20241010-WA0009-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250204-WA0060-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250209-WA0016-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250413-WA0000-Nora-Hernandez-rotated.jpg
Bordado a Mano,Diversas prendas y piezas bordadas a mano: bordado mexicano; bordado chino; bordado español; bordado con cinta y otros,Nora Hernández,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250411-WA0063-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250402_113959-Nora-Hernandez-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250319-WA0040-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250326-WA0006-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250401-WA0033-Nora-Hernandez.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG-20250413-WA0015-Nora-Hernandez.jpg
Imanes en Metal,IMANES VARIOS EN METAL,daniel arancibia,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/3fde5c2d-bb69-4397-97fc-482b38ed5e6b-daniel-arancibia.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/0d3bb121-fcf0-42a1-97d7-0fedb3f92d02-daniel-arancibia.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/bd73544d-7118-46e1-a373-5ea2472c5f36-daniel-arancibia.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/d14dd35e-4641-442c-8edd-c19718ceaeeb-daniel-arancibia.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/e9d239ef-d462-49a4-9e95-51dab8a3dd26-daniel-arancibia.jpg
Cuadro en Madera,* CUADRO EN MADERA ESTILO VINTAGE MALVINAS 36X60 CM APRX * CARTEL EN MADERA ESTILO VINTAGE ARGENTINA 120X60 CM APROX,daniel arancibia,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/79E00A4D-9519-4889-A0BE-E207D8429036-daniel-arancibia.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/0b92fd22-aa03-421c-a74a-45a7ffa0125a-daniel-arancibia.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/c29b7931-37a9-4630-8136-438cf32c6cd8-daniel-arancibia.jpg
Florero,"Florero en forma de dona que transmite Pura calma en forma de cerámica. Texturas suaves, flores eternas y un diseño que abraza la luz. Ideal para espacios que buscan respirar belleza minimalista.",Martina Nahin,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_2648-Martina-Nahin-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_2651-Martina-Nahin-scaled.jpeg
Taza,"Taza estilo bombé , hecho y pintada a mano con detalles florales , inspirado en el arte minimalista y en la naturaleza",Martina Nahin,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_2911-Martina-Nahin-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/FullSizeRender_VSCO-Martina-Nahin-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_2676-Martina-Nahin-scaled.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_2785-Martina-Nahin-scaled.jpeg
Camino de Mesa,tejido a crochet en hilo de algodon,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.10.05-PM-1-Punto-Digital.jpeg
"Chal ""Del Valle""",Chal tejido a crochet en hilo de algodon,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.10.05-PM-Punto-Digital.jpeg
Chopp para Cerveza,chopp para uso de bebidas frescas,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.22.02-AM-MGSM-Cooperativas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-8.35.11-AM-MGSM-Cooperativas.jpeg
Mate Calavera,Mate con forma de calavera,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.22.03-AM-MGSM-Cooperativas.jpeg
Juguetes para Bebés,"REALIZADOS CON HILOS ,CUENTAS Y ACCSESORIOS.",Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-14.04.25-Punto-Digital.jpeg
Set de Mate,"MATES DE ALGARROBO ,FUNDAS Y RECICLADO DE CAJONES.",Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-14.08.02-Punto-Digital.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-14.08.00-1-Punto-Digital.jpeg
Mates Pintados,"Set de mates de algarrobo, mates individuales",MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.56.37-AM-1-MGSM-Cooperativas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.56.37-AM-MGSM-Cooperativas.jpeg
Sahumador de Cerámica,,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.47.20-AM-MGSM-Cooperativas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.41.51-AM-MGSM-Cooperativas.jpeg
Juego de Damas,,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.36.49-AM-MGSM-Cooperativas.jpeg
Llaveros en Epoxi,Son piezas realizadas en rexina epoxi con arandelas de meta y encapsulado de objetos como fotos flores etc,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-9.39.44-AM-MGSM-Cooperativas.jpeg
Macetas,,Carlos Carranza,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.06.23-1-Carlos-Carranza.jpeg
Tazas,"Cerámica artesanía , son productos utilitarios para el hogar, tazas, mates platos etc, de uso cotidiano.",Carlos Carranza,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.06.23-2-Carlos-Carranza.jpeg
Bolso para Asado,Es un producto para llevar plato vaso y cubiertos resguardados,Economia Social,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.28.54-1-Economia-Social.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.28.54-Economia-Social-1.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.28.54-1-Economia-Social-1.jpeg
Neceser,Son productos de diferentes tamaños y tienen un sin fin de utilidades,Economia Social,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.28.53-1-Economia-Social.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.28.53-Economia-Social.jpeg
Fundas de Carpetas,Son fundas para carpetas en tamaño A4 y oficio con o sin cierres tiene compartimientos cómodos para guardar papeles,Economia Social,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-10-at-09.26.09-Economia-Social.jpeg
Cinturones,"Cintos realizados en cuero vacuno, decorados con costura en hilo y hebillas metálicas",Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-19.36.29-1-Punto-Digital.jpeg
Muñequeras de Cuero,Se encuentran realizadas en cuero vacuno con decoraciones en hilo encerado y apliques metalicos,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-19.36.29-Punto-Digital.jpeg
Porta Vino en Madera y Hierro,"portavinos, realizado en madera de pino quemado, con decoraciones en hierro resiclado",Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-19.36.29-2-Punto-Digital.jpeg
Destapadores de Pared,"REALIZADOS EN MADERA DE PALETS, EL DESTAPADOR ES EN METAL (CLASICO DESTAPADOR MANITO)",Frikxer,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20231015_232506963-Frikxer-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20220408_212934743-Frikxer-scaled.jpg
Colgantes Decorativos para Pared,"REALIZADOS EN MADERA DE PALETS PARA COLOCAR EN PAREDES , COLUMNAS. CON MOVIMIENTO Y SE VEN DE AMBOS LADOS.TAMBIEN PUEDEN SER EN CHAPA Y MADERA.",Frikxer,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20231110_131455468-Frikxer-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20231015_232742064-Frikxer-scaled.jpg
Cuadro con Relieve,REALIZADO EN MADRA DE PALETS Y AGREGO RELIEVE EN LA IMAGEN CON UNA LAMINA REALIZADA EN MADERA.,Frikxer,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/IMG_20240308_184610719-Frikxer-scaled.jpg
Frascos Decorados con Porcelana en Frío,,SILVIA Diaz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20240310_172323-SILVIA-Diaz-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20240310_172627-SILVIA-Diaz-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20240723_173557-SILVIA-Diaz-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20240825_145427-SILVIA-Diaz-scaled.jpg
Comida para Jugar,"Pequeños accesorios, juguetes y juegos realizados en porcelana en frío",SILVIA Diaz,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250409_184236-SILVIA-Diaz-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/20250409_184603-SILVIA-Diaz-scaled.jpg
Trenzas con Piedras y Caracoles para el Cabello,Trenzas con caracoles. Trenzas con hilo encerado. Trenzas con chasquiras.,siilviina fonseca,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/inbound5784043662186130719-siilviina-fonseca-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/inbound5710211906281646921-siilviina-fonseca.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/inbound7199654863687052526-siilviina-fonseca.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/inbound7834259811727957885-siilviina-fonseca.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/inbound8045166433617047304-siilviina-fonseca-1.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/Screenshot_20250416-124843_Instagram-siilviina-fonseca.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/Screenshot_20250416-125542_Instagram-siilviina-fonseca.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/Screenshot_20250416-125907_Instagram-siilviina-fonseca.jpg
Placa Antihumedad Simil Travertino,,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.58.27-AM-Punto-Digital.jpeg
Placas Mar del Plata,,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.58.26-AM-Punto-Digital.jpeg
Placas Simil Piedra,placas antihumedad simil piedra,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.58.25-AM-Punto-Digital.jpeg
Flores de Goma Eva,,Laura C.,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.33.10-Laura-C..jpeg
Riñonera Tejida,tejido a chochet grannis riñonera,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.12.31-1-Punto-Digital.jpeg
Mermelada Artesanal de Bonarda,Mermeladas de pura pulpa de frutas y azucar sin aditivos ni conservantes envasada en frascos de vidrio.,Economia Social,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-09.49.13-Economia-Social.jpeg
Adornos en Yeso,Figuras de yeso con aplicaciones y terminado con brocha seca,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.02.11-2-MGSM-Cooperativas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.02.11-1-MGSM-Cooperativas.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.02.11-3-MGSM-Cooperativas.jpeg
Moños para el Cabello,,Laura C.,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-10.01.26-AM-Laura-C..jpeg
Macetas con Plantines,,Punto Digital,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-09.42.42-Punto-Digital.jpeg
Licor de Guindas,Licor elaborado con guindas cuidadosamente seleccionadas maceradas en vino blanco de buena calidad,Laura C.,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-09.24.04-2-Laura-C..jpeg
Vermut,"Vermut elaborado con 15 hierbas y especias, con caracteristicas especiado,floral, citrico aromatico",Laura C.,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-09.24.04-Laura-C..jpeg
Vino Mistela,Vino mistela en botella de 500cc elaborado con mosto de moscatel y uvas blancas bien seleccionadas,Laura C.,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/WhatsApp-Image-2025-04-09-at-09.24.04-1-Laura-C..jpeg
Figuras en Yeso,,MGSM Cooperativas,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/5165674931063729783-MGSM-Cooperativas.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2025/04/5166010217685692550-MGSM-Cooperativas.jpg
